Set,Name,Theme,Year,Parts,Store,Cost,Discount
10889-1,Mickey's Vacation House,Duplo,2019,57,"Amazon US(Amazon, US)","CFA72,843Avg: CFA27,849",-
8881-1,Power Functions Battery Box,Power Functions,2008,1,"3_BRICKS(BrickOwl, SI)","CFA14,431Avg: CFA5,507",-
40413-1,Mini Robots,Mindstorms,2020,366,": Pricey, but worth it(BrickOwl, ES)","CFA39,357Avg: CFA15,013",-
75934-1,Dilophosaurus on the Loose,Jurassic World,2019,168,"Amazon UK (Amazon, GB)","CFA42,087Avg: CFA15,987",-
71361-1,Paragoomba,Super Mario,2020,24,"Amazon US(Amazon, US)","CFA7,825Avg: CFA2,980", -
75880-1,McLaren 720S,Speed Champions,2017,168,"Brick Takeover(BrickOwl, DE)","CFA51,121Avg: CFA19,453",-
5001121-1,BR LEGO Minifigure,Collectible Minifigures,2013,5,"CoSuRa(BrickOwl, DE)","CFA12,896Avg: CFA4,899",-
40106-1,Toy Workshop,Seasonal,2014,115,"Forever Sorting(BrickOwl, PT)","CFA51,016Avg: CFA19,358",-
45400-1,BricQ Motion Prime,Educational and Dacta,2021,560,"Amazon US(Amazon, US)","CFA151,077Avg: CFA57,033",-
45401-1,BricQ Motion Essential,Educational and Dacta,2021,522,"Amazon US(Amazon, US)","CFA151,077Avg: CFA57,033",-
40409-1,Hot Rod,Promotional,2020,142,"Forever Sorting(BrickOwl, PT)","CFA36,441Avg: CFA13,753",-
30541-1,Animal Free Builds - Make It Yours,Classic,2018,10,"3_BRICKS(BrickOwl, SI)","CFA3,942Avg: CFA1,487",-
70327-1,The King's Mech,Nexo Knights,2016,375,"eBay US(eBay, US)","CFA53,966Avg: CFA20,327",-
88005-1,Light,Power Functions,2018,1,"Forever Sorting(BrickOwl, PT)","CFA21,866Avg: CFA8,228",-
40330-1,UFO,LEGO Brand Store,2019,36,"Amazon US(Amazon, US)","CFA8,629Avg: CFA3,228",-
21320-1,Dinosaur Fossils,LEGO Ideas and CUUSOO,2019,911,"1brick4all(BrickOwl, IT)","CFA130,535Avg: CFA48,708",-
71022-1,Harry Potter,Collectible Minifigures,2018,7,"Brick Takeover(BrickOwl, DE)","CFA9,559Avg: CFA3,565",-
60206-1,Sky Police Jet Patrol,Town,2019,54,"Brick Takeover(BrickOwl, DE)","CFA17,265Avg: CFA6,423",-
21103-1,The DeLorean Time Machine,LEGO Ideas and CUUSOO,2013,401,": Pricey, but worth it(BrickOwl, ES)","CFA262,383Avg: CFA97,419",-
7103-1,Jedi Duel,Star Wars,2002,82,"Legrobi(BrickLink, HU)","CFA98,479Avg: CFA36,529",-
76113-1,Spider-Man Bike Rescue,Super Heroes Marvel,2019,243,"Amazon UK(Amazon, GB)","CFA37,366Avg: CFA13,844",-
79015-1,Witch-King Battle,The Hobbit and Lord of the Rings,2014,101,"Old historic sets(BrickLink, RU)","CFA50,153Avg: CFA18,493", -
8869-1,Power Functions Control Switch,Power Functions,2009,1,"Forever Sorting(BrickOwl, PT)","CFA14,578Avg: CFA5,374",-
30452-1,Iron Man and Dum-E,Super Heroes Marvel,2019,38,"CoSuRa(BrickOwl, DE)","CFA14,575Avg: CFA5,366",-
5005376-1,Darth Vader,Star Wars,2018,37,"Brick Takeover(BrickOwl, DE)","CFA31,332Avg: CFA11,481",-
7499-1,Flexible Rails,Town,2011,24,"Brick Takeover(BrickOwl, DE)","CFA59,003Avg: CFA21,617",-
60208-1,Sky Police Parachute Arrest,Town,2019,218,"Brick Takeover(BrickOwl, DE)","CFA52,444Avg: CFA19,206",-
40223-1,Snowglobe,Seasonal,2016,215,"eBay US(eBay, US)","CFA70,156Avg: CFA25,686",-
9500-1,Sith Fury-class Interceptor,Star Wars,2012,748,"Legrobi(BrickLink, HU)","CFA262,610Avg: CFA95,977",-
10904-1,Baby Animals,Duplo,2019,9,"Amazon US(Amazon, US)","CFA15,623Avg: CFA5,706",-
30274-1,AT-DP,Star Wars,2015,65,"3_BRICKS(BrickOwl, SI)","CFA11,793Avg: CFA4,302",-
40178-1,Iconic VIP Set,LEGO Brand Store,2017,205,"Forever Sorting(BrickOwl, PT)","CFA36,441Avg: CFA13,221",-
7621-1,Indiana Jones and the Lost Tomb,Indiana Jones,2008,277,"Legrobi(BrickLink, HU)","CFA196,958Avg: CFA71,330",-
70592-1,Salvage M.E.C.,Ninjago,2016,439,"eBay US(eBay, US)","CFA80,409Avg: CFA29,111",-
41357-1,Olivia's Heart Box,Friends,2019,85,"Amazon US(Amazon, US)","CFA15,645Avg: CFA5,654",-
7280-1,Straight & Crossroad Plates,Town,2005,2,"Brick Takeover(BrickOwl, DE)","CFA18,543Avg: CFA6,666",-
10220-1,Volkswagen T1 Camper Van,Creator,2011,1333,"Brickville(BrickOwl, BE)","CFA196,781Avg: CFA70,701",-
30550-1,Easter Bunny,Seasonal,2020,67,"Amazon US(Amazon, US)","CFA8,036Avg: CFA2,886",-
70669-1,Cole’s Earth Driller,Ninjago,2019,579,"Amazon UK(Amazon, GB)","CFA89,214Avg: CFA31,983",-
40312-1,Street Lamps,Xtra,2018,34,"Brickville(BrickOwl, BE)","CFA9,839Avg: CFA3,527",-
41585-1,Batman,Brickheadz,2017,91,"1brick4all(BrickOwl, IT)","CFA64,940Avg: CFA23,267",-
40334-1,Avengers Tower,Super Heroes Marvel,2019,211,"Forever Sorting(BrickOwl, PT)","CFA65,592Avg: CFA23,490",-
4000023-1,Jiaxing Factory,LEGO Exclusive,2016,407,"eBay US(eBay, US)","CFA323,741Avg: CFA115,864",-
41607-1,Gamora,Brickheadz,2018,136,"1brick4all(BrickOwl, IT)","CFA25,582Avg: CFA9,148",-
75223-1,Naboo Starfighter Microfighter,Star Wars,2019,62,"Amazon UK(Amazon, GB)","CFA18,683Avg: CFA6,646",-
40186-1,Year of the Pig,Seasonal,2019,153,"Amazon UK(Amazon, GB)","CFA28,970Avg: CFA10,299",-
30312-1,Demolition Driller,Town,2015,40,"Forever Sorting(BrickOwl, PT)","CFA14,578Avg: CFA5,182",-
41591-1,Black Widow,Brickheadz,2017,143,"1brick4all(BrickOwl, IT)","CFA32,142Avg: CFA11,424",-
8033-1,General Grievous Starfighter - Mini,Star Wars,2009,44,"Forever Sorting(BrickOwl, PT)","CFA21,866Avg: CFA7,748",-
4560-1,Railway Express,Train,1999,668,"Set Shop Boy(BrickOwl, DE)","CFA491,312Avg: CFA173,348",-
40349-1,Puppy,Brickheadz,2019,147,"1brick4all(BrickOwl, IT)","CFA32,142Avg: CFA11,334",-
40354-1,Dragon Dance Guy,Brickheadz,2019,170,"1brick4all(BrickOwl, IT)","CFA32,142Avg: CFA11,318",-
40273-1,Turkey,Brickheadz,2018,114,": Pricey, but worth it(BrickOwl, ES)","CFA26,238Avg: CFA9,234",-
70312-1,Lance's Mecha Horse,Nexo Knights,2016,237,"eBay US(eBay, US)","CFA37,749Avg: CFA13,283",-
41408-1,Mia's Shopping Play Cube,Friends,2020,37,"Amazon US(Amazon, US)","CFA15,634Avg: CFA5,494",-
40170-1,Build My City Accessory Set,Town,2017,102,"Brick Takeover(BrickOwl, DE)","CFA32,765Avg: CFA11,505",-
5000063-1,TC-14,Star Wars,2012,3,"Forever Sorting(BrickOwl, PT)","CFA80,171Avg: CFA27,986",-
5004916-1,Kai's Dojo Pod,Ninjago,2017,37,"Forever Sorting(BrickOwl, PT)","CFA21,866Avg: CFA7,621",-
41587-1,Robin,Brickheadz,2017,101,"1brick4all(BrickOwl, IT)","CFA32,142Avg: CFA11,148",-
30341-1,Monkie Kid's Delivery Bike,Monkie Kid,2020,22," Forever Sorting(BrickOwl, PT)","CFA21,866Avg: CFA7,570",-
40303-1,Boost My City Vehicle Set,Town,2018,79,"Forever Sorting(BrickOwl, PT)","CFA14,578Avg: CFA5,047",-
8831-1,Swimming Champion,Collectible Minifigures,2012,6,"Forever Sorting(BrickOwl, PT)","CFA16,394Avg: CFA5,671",-
561904-1,Biscuit's Cozy Forest Cave,Friends,2019,22,"Amazon US(Amazon, US)","CFA6,471List: CFA7,528Avg: CFA2,602",-
40396-1,Valentine Panda,LEGO Brand Store,2020,53,"Amazon US(Amazon, US)","CFA12,946List: CFA16,184Avg: CFA5,584",-
40398-1,Easter Bunny,LEGO Brand Store,2020,43,"Amazon US(Amazon, US)","CFA12,892Avg: CFA4,447",-
70665-1,The Samurai Mech,Ninjago,2019,154,"Brick Takeover(BrickOwl, DE)","CFA27,137Avg: CFA9,357",-
41595-1,Belle,Brickheadz,2017,139,"1brick4all(BrickOwl, IT)","CFA32,142Avg: CFA11,048",-
30005-1,Imperial Speeder Bike,Star Wars,2009,33,"Forever Sorting(BrickOwl, PT)","CFA29,153Avg: CFA10,009",-
40413-1,Mini Robots,Mindstorms,2020,366,"Forever Sorting(BrickOwl, PT)","CFA43,729Avg: CFA15,013",-
71255-1,Teen Titans Go! Team Pack,Dimensions,2017,105,"South West Bricks UK(BrickOwl, GB)","CFA61,006Avg: CFA20,923",-
30453-1,Captain Marvel and Nick Fury,Super Heroes Marvel,2020,32,"Forever Sorting(BrickOwl, PT)","CFA14,578Avg: CFA4,995",-
9469-1,Gandalf Arrives,The Hobbit and Lord of the Rings,2012,83,"Old historic sets(BrickLink, RU)","CFA69,051Avg: CFA23,593",-
75534-1,Darth Vader,Star Wars,2018,168,"eBay US(eBay, US)"," CFA75,013Avg: CFA25,549",-
5005250-1,Party Banana Juice Bar,Collectible Minifigures,2018,5,"Forever Sorting(BrickOwl, PT)","CFA21,866Avg: CFA7,420",-
40107-1,Winter Skating Scene,Seasonal,2014,129,"Forever Sorting(BrickOwl, PT)","CFA51,016Avg: CFA17,298",-
40351-1,Ghost,Brickheadz,2019,134,"1brick4all(BrickOwl, IT)","CFA45,261Avg: CFA15,316",-
41234-1,Bumblebee Helicopter,DC Super Hero Girls,2017,142," eBay US(eBay, US)","CFA24,285Avg: CFA8,194",-
41405-1,Andrea's Shopping Play Cube,Friends,2020,40,"Amazon US(Amazon, US)","CFA16,184 Avg: CFA5,455",-
5001121-1,BR LEGO Minifigure,Collectible Minifigures,2013,5,"Forever Sorting(BrickOwl, PT)","CFA14,578Avg: CFA4,899",-
10805-1,Around the World,Duplo,2016,163,"eBay US(eBay, US)","CFA231,508Avg: CFA77,631",-
30576-1,Holiday Tree,Seasonal,2020,70,"Amazon UK(Amazon, GB)","CFA15,213Avg: CFA5,094",-
41608-1,Han Solo,Brickheadz,2018,141,"eBay US(eBay, US)","CFA24,279Avg: CFA8,101",-
40338-1,Christmas Tree,Seasonal,2019,392,"Amazon US(Amazon, US)","CFA78,617Avg: CFA26,188",-
75153-1,AT-ST Walker,Star Wars,2016,449,"eBay US(eBay, US)","CFA107,926Avg: CFA35,846",-
8803-1,Fisherman,Collectible Minifigures,2011,9,"Forever Sorting(BrickOwl, PT)","CFA29,153Avg: CFA9,676",-
60193-1,Arctic Air Transport,Town,2018,277," Brick Takeover(BrickOwl, DE)","CFA60,348Avg: CFA20,009",-
40400-1,Apple Tree,LEGO Brand Store,2020,37,"Amazon US(Amazon, US)","CFA12,682Avg: CFA4,186",-
70657-1,NINJAGO City Docks,Ninjago,2018,3555,"eBay IT(eBay, IT)","CFA491,312Avg: CFA161,785",-
41596-1,Beast,Brickheadz,2017,116,"1brick4all(BrickOwl, IT)","CFA32,142Avg: CFA10,574",-
30571-1,Pelican,Creator,2019,62,": Pricey, but worth it(BrickOwl, ES)","CFA9,839Avg: CFA3,216",-
41383-1,Olivia's Hamster Playground,Friends,2019,81,"Amazon US(Amazon, US)","CFA18,823Avg: CFA6,124",-
40348-1,Birthday Clown,Brickheadz,2019,150,"1brick4all(BrickOwl, IT)","CFA32,142Avg: CFA10,418",-
5004420-1,Toy Soldier,Seasonal,2016,34,"Forever Sorting(BrickOwl, PT)","CFA36,441Avg: CFA11,795",-
30607-1,Disco Batman - Tears of Batman,Super Heroes DC,2017,13,"CoSuRa(BrickOwl, DE)","CFA36,078Avg: CFA11,674",-
10252-1,Volkswagen Beetle,Creator,2016,1167,"KATTIS BRICKS(BrickLink, DE)","CFA196,301Avg: CFA63,479",-
79011-1,Dol Guldur Ambush,The Hobbit and Lord of the Rings,2013,218,"Swiss House(BrickLink, CH)","CFA60,245Avg: CFA19,418",-
8879-1,IR Speed Remote Control,Power Functions,2009,1,"Brick Takeover(BrickOwl, DE)","CFA31,939Avg: CFA10,279",-
42083-1,Bugatti Chiron,Technic,2018,3599,"1brick4all(BrickOwl, IT)","CFA629,063Avg: CFA202,170",-
71005-1,Homer Simpson,Collectible Minifigures,2014,6,"Forever Sorting(BrickOwl, PT)","CFA12,387Avg: CFA3,974",-
79011-1,Dol Guldur Ambush,The Hobbit and Lord of the Rings,2013,218,"Incredibrick(BrickLink, UK)","CFA60,744Avg: CFA19,418",-
75224-1,Sith Infiltrator Microfighter,Star Wars,2019,92,"Amazon US(Amazon, US)","CFA22,121Avg: CFA7,046",-
40109-1,MINI Cooper Mini Model,Creator,2014,59,"Forever Sorting(BrickOwl, PT)","CFA65,592Avg: CFA20,885",-
21050-1,Architecture Studio,Architecture,2013,1211,"Mardosul(BrickLink, PT)","CFA656,526Avg: CFA207,904",-
30602-1,First Order Stormtrooper,Star Wars,2016,7,"Forever Sorting(BrickOwl, PT)","CFA21,866Avg: CFA6,920",-
71018-1,Professional Surfer,Collectible Minifigures,2017,6,"Forever Sorting(BrickOwl, PT)","CFA14,578Avg: CFA4,609",-
21016-1,Sungnyemun,Architecture,2012,325,"Bricks Projects(BrickLink, NL)","CFA784,548Avg: CFA247,241",-
71002-1,Barbarian,Collectible Minifigures,2013,7,"Forever Sorting(BrickOwl, PT)","CFA16,394Avg: CFA5,146",-
30446-1,The Batmobile,Super Heroes DC,2016,63,"Forever Sorting(BrickOwl, PT)","CFA14,578Avg: CFA4,559",-
11942-1,Lunar Lander,Creator,2020,45,"Amazon US(Amazon, US)","CFA12,682Avg: CFA3,964",-
75194-1,First Order TIE Fighter Microfighter,Star Wars,2018,91,"3_BRICKS(BrickOwl, SI)","CFA21,266Avg: CFA6,641",-
41161-1,Aladdin and Jasmine's Palace Adventures,Disney Princess,2019,193,"eBay US(eBay, US)","CFA59,362Avg: CFA18,446",-
30393-1,Steve and Creeper,Minecraft,2019,36,"Amazon US(Amazon, US)","CFA13,357Avg: CFA4,144",-
30195-1,FXX,Racers,2012,53,"3_BRICKS(BrickOwl, SI)","CFA14,737Avg: CFA4,535",-
8031-1,V-19 Torrent - Mini,Star Wars,2008,66,"Forever Sorting(BrickOwl, PT)","CFA21,866Avg: CFA6,711",-
40419-1,Hogwarts Students,Harry Potter,2020,55,"Amazon US(Amazon, US)","CFA43,162Avg: CFA13,240",-
60150-1,Pizza Van,Town,2017,249,"Brick Takeover(BrickOwl, DE)","CFA44,120Avg: CFA13,444",-
79015-1,Witch-King Battle,The Hobbit and Lord of the Rings,2014,101,"Incredibrick(BrickLink, UK)","CFA60,744Avg: CFA18,493",-
41921-1,Extra DOTS - Series 3,DOTS,2021,97,"Amazon US(Amazon, US)","CFA8,089Avg: CFA2,452",-
40350-1,Chick,Brickheadz,2019,120,"1brick4all(BrickOwl, IT)","CFA32,142Avg: CFA9,741",-
41586-1,Batgirl,Brickheadz,2017,99,"1brick4all(BrickOwl, IT)","CFA32,142Avg: CFA9,724",-
853702-1,Movie Maker Set,Ninjago,2017,164,"eBay US(eBay, US)","CFA48,564Avg: CFA14,591",-
70660-1,Spinjitzu Jay,Ninjago,2019,97,"Amazon US(Amazon, US)","CFA21,543Avg: CFA6,464",-
71008-1,Classic King,Collectible Minifigures,2015,9,"Forever Sorting(BrickOwl, PT)","CFA21,866 Avg: CFA6,523",-
75252-1,Imperial Star Destroyer,Star Wars,2019,4784,": Pricey, but worth it(BrickOwl, ES)","CFA1,639,892Avg: CFA488,741",-
5006274-1,Marker 6 Pack,DOTS,2021,40,"Amazon US(Amazon, US)","CFA32,374Avg: CFA9,636",-
30342-1,Lamborghini Huracán Super Trofeo EVO,Speed Champions,2020,70,"Forever Sorting(BrickOwl, PT)"," CFA14,578Avg: CFA4,332",-
5004408-1,Rebel A-wing Pilot,Star Wars,2016,5,"Forever Sorting(BrickOwl, PT)","CFA14,578Avg: CFA4,325",-
41413-1,Mia's Summer Play Cube,Friends,2020,50,"Amazon US(Amazon, US)","CFA17,264List: CFA21,581Avg: CFA6,386",-
10215-1,Obi-Wan's Jedi Starfighter,Star Wars,2010,676,"Legrobi(BrickLink, HU)","CFA459,568 Avg: CFA135,637",-
71004-1,Calamity Drone,Collectible Minifigures,2014,7,"Forever Sorting(BrickOwl, PT)","CFA29,153Avg: CFA8,596",-
30464-1,El Fuego's Stunt Cannon,Hidden Side,2020,46,"Brickville(BrickOwl, BE)","CFA11,479Avg: CFA3,363",-
75237-1,TIE Fighter Attack,Star Wars,2019,77,"Amazon US(Amazon, US)","CFA42,093Avg: CFA12,281",-
5002943-1,Winter Soldier,Super Heroes Marvel,2015,4,"Forever Sorting(BrickOwl, PT)","CFA36,441Avg: CFA10,594",-
40337-1,Mini Gingerbread House,Seasonal,2019,499,"Amazon US(Amazon, US)","CFA66,821Avg: CFA19,374",-
70313-1,Moltor's Lava Smasher,Nexo Knights,2016,187,"eBay US(eBay, US)","CFA44,247Avg: CFA12,779",-
40270-1,Bee,Brickheadz,2018,140,"1brick4all(BrickOwl, IT)","CFA32,142Avg: CFA9,270",-
6307988-1,Winter,Seasonal,2019,113,"Amazon UK(Amazon, GB)","CFA60,999Avg: CFA17,530",-
40324-1,Ladybug,LEGO Brand Store,2019,27,"Amazon US(Amazon, US)","CFA12,407List: CFA13,216Avg: CFA3,794",-
30564-1,Build Your Own Monster or Vehicles,Classic,2021,60,"Amazon US(Amazon, US)","CFA18,079Avg: CFA5,175",-
71023-1,Awesome Remix Emmet,Collectible Minifigures,2019,7,"Amazon US(Amazon, US)","CFA9,493Avg: CFA2,712",-
40165-1,Minifigure Wedding Favor Set,LEGO Brand Store,2016,91,"Forever Sorting(BrickOwl, PT)","CFA36,441Avg: CFA10,357",-
30280-1,The Piece of Resistance,The LEGO Movie,2014,33,"Forever Sorting(BrickOwl, PT)","CFA21,866Avg: CFA6,175",-
40434-1,Reindeer,Seasonal,2019,77,"Forever Sorting(BrickOwl, PT)","CFA14,578Avg: CFA4,102",-
88004-1,Power Functions Servo Motor,Power Functions,2013,1,"Brick Takeover(BrickOwl, DE)","CFA75,435Avg: CFA21,093",-
8833-1,Evil Robot,Collectible Minifigures,2012,8,"Forever Sorting(BrickOwl, PT)","CFA21,866Avg: CFA6,109",-
40345-1,Mars Exploration Minifigure Pack,Town,2019,44,"Amazon UK(Amazon, GB)","CFA30,465List: CFA38,121Avg: CFA10,584",-
40234-1,Year of the Rooster,Seasonal,2017,158,"eBay US(eBay, US)","CFA47,652Avg: CFA13,238",-
88010-1,Remote Control,Power Functions,2019,1,"Amazon US(Amazon, US)"," CFA53,426Avg: CFA14,799",-
40357-1,BYGGLEK,Other,2020,201,"Amazon US(Amazon, US)","CFA53,399Avg: CFA14,750",-
30472-1,Parrot,Creator,2016,43,"CoSuRa(BrickOwl, DE)","CFA9,839Avg: CFA2,714",-
41121-1,Adventure Camp Rafting,Friends,2016,320,"eBay US(eBay, US)","CFA67,992Avg: CFA18,725",-
853900-1,4x4 Brick Magnets,Xtra,2019,4,"Amazon US(Amazon, US)","CFA15,920Avg: CFA4,357",-
30247-1,ARC-170 Starfighter,Star Wars,2014,54,"3_BRICKS(BrickOwl, SI)","CFA14,737Avg: CFA4,019",-
40464-1,Chinatown,Xtra,2021,35,"Amazon US(Amazon, US)","CFA12,407List: CFA13,216Avg: CFA3,603",-
31047-1,Propeller Plane,Creator,2016,230,"eBay US(eBay, US)","CFA47,646Avg: CFA12,941",-
853899-1,Lloyd's Kendo Training Pod,Ninjago,2019,26," Amazon US(Amazon, US)","CFA21,581Avg: CFA5,860",-
7595-1,Army Men on Patrol,Toy Story,2010,90,": Pricey, but worth it(BrickOwl, ES)","CFA131,191Avg: CFA35,594",-
40123-1,Thanksgiving Feast,Seasonal,2015,158,"Forever Sorting(BrickOwl, PT)","CFA58,304Avg: CFA15,698",-
76133-1,Spider-Man Car Chase,Super Heroes Marvel,2019,52,"Amazon US(Amazon, US)","CFA23,594Avg: CFA6,326",-
40448-1,Vintage Car,LEGO Ideas and CUUSOO,2021,189,"Forever Sorting(BrickOwl, PT)","CFA65,592Avg: CFA17,542",-
30407-1,Harry's Journey to Hogwarts,Harry Potter,2018,40,": Pricey, but worth it(BrickOwl, ES)","CFA19,679Avg: CFA5,259",-
41387-1,Olivia's Summer Heart Box,Friends,2019,93,"Amazon US(Amazon, US)","CFA18,823Avg: CFA4,973",-
5005376-1,Darth Vader,Star Wars,2018,37,"Forever Sorting(BrickOwl, PT)"," CFA43,729Avg: CFA11,481",-
21124-1,The End Portal,Minecraft,2016,559,"Old historic sets(BrickLink, RU)","CFA156,273Avg: CFA40,124",-
21123-1,The Iron Golem,Minecraft,2016,208," eBay US(eBay, US)","CFA32,353Avg: CFA8,248",-
5004929-1,Batman Battle Pod,Super Heroes DC,2017,28,"Forever Sorting(BrickOwl, PT)","CFA36,441Avg: CFA9,262",-
76137-1,Batman vs. The Riddler Robbery,Super Heroes DC,2019,59,"Amazon US(Amazon, US)","CFA26,254Avg: CFA6,651",-
40311-1,Traffic Lights,Xtra,2018,46,"Brick Takeover(BrickOwl, DE)","CFA14,187Avg: CFA3,587",-
5006274-1,Marker 6 Pack,DOTS,2021,40,"Amazon UK(Amazon, GB)","CFA30,465List: CFA38,121Avg: CFA9,636",-
5006273-1,Notebook with Elastic Band,DOTS,2021,18,"Amazon UK(Amazon, GB)","CFA28,665Avg: CFA7,226",-
41175-1,Fire Dragon's Lava Cave,Elves,2016,441,"eBay US(eBay, US)","CFA121,423Avg: CFA30,432",-
40298-1,DJ,Star Wars,2018,22,"Forever Sorting(BrickOwl, PT)","CFA21,866Avg: CFA5,476",-
853900-1,4x4 Brick Magnets,Xtra,2019,4,"Amazon UK(Amazon, GB)","CFA17,532Avg: CFA4,357",-
30543-1,Holiday Train,Seasonal,2018,66,"Forever Sorting(BrickOwl, PT)","CFA14,578Avg: CFA3,607",-
854037-1,Christmas Ornament Santa,Seasonal,2020,44,"Amazon UK(Amazon, GB)","CFA18,714Avg: CFA4,625",-
71010-1,Wolf Guy,Collectible Minifigures,2015,6,"Forever Sorting(BrickOwl, PT)","CFA18,222Avg: CFA4,433",-
75183-1,Darth Vader Transformation,Star Wars,2017,290,"eBay US(eBay, US)","CFA75,013Avg: CFA18,246",-
30563-1,Build Your Own Snail With Superpowers,Classic,2021,36,"Amazon US(Amazon, US)","CFA18,294Avg: CFA4,435",-
8028-1,TIE Fighter - Mini,Star Wars,2008,44,"Forever Sorting(BrickOwl, PT)","CFA14,578Avg: CFA3,522",-
40408-1,Drag Racer,Hidden Side,2020,134,": Pricey, but worth it(BrickOwl, ES)","CFA39,357Avg: CFA9,504",-
41663-1,Emma's Dalmatian Cube,Friends,2021,40,"Amazon US(Amazon, US)","CFA29,654Avg: CFA7,159",-
30407-1,Harry's Journey to Hogwarts,Harry Potter,2018,40,"Forever Sorting(BrickOwl, PT)","CFA21,866Avg: CFA5,259",-
5002947-1,Admiral Yularen,Star Wars,2015,4,"Forever Sorting(BrickOwl, PT)","CFA65,592Avg: CFA15,666",-
60121-1,Volcano Exploration Truck,Town,2016,175,"eBay US(eBay, US)","CFA53,966Avg: CFA12,889",-
41412-1,Olivia's Summer Play Cube,Friends,2020,48,"Amazon US(Amazon, US)","CFA27,652Avg: CFA6,548",-
40300-1,Han Solo Mudtrooper,Star Wars,2018,22,"Forever Sorting(BrickOwl, PT)","CFA36,441Avg: CFA8,597",-
41410-1,Andrea's Summer Play Cube,Friends,2020,43,"Amazon US(Amazon, US)","CFA27,652Avg: CFA6,387",-
30464-1,El Fuego's Stunt Cannon,Hidden Side,2020,46,"Forever Sorting(BrickOwl, PT)","CFA14,578Avg: CFA3,363",-
45610-1,Large Hub Battery,Educational and Dacta,2020,1,"Amazon US(Amazon, US)","CFA223,947Avg: CFA51,597",-
41392-1,Nature Glamping,Friends,2020,240,"Amazon US(Amazon, US)","CFA75,498Avg: CFA17,084",-
40360-1,Name Sign,Friends,2019,91,"Amazon US(Amazon, US)","CFA27,652Avg: CFA6,176",-
71012-1,Stitch,Collectible Minifigures,2016,4,"Forever Sorting(BrickOwl, PT)","CFA21,866Avg: CFA4,875",-
40395-1,Lunar New Year Dragon,LEGO Brand Store,2020,67,"Amazon US(Amazon, US)","CFA32,374Avg: CFA7,205",-
21108-1,Ghostbusters Ecto-1,LEGO Ideas and CUUSOO,2014,508,": Pricey, but worth it(BrickOwl, ES)","CFA262,383Avg: CFA58,313",-
21317-1,Steamboat Willie,LEGO Ideas and CUUSOO,2019,751,"1brick4all(BrickOwl, IT)","CFA327,323Avg: CFA72,502",-
41662-1,Olivia's Flamingo Cube,Friends,2021,40,"Amazon US(Amazon, US)","CFA32,374Avg: CFA7,158",-
853906-1,Birthday Card,Seasonal,2019,39,"Amazon UK(Amazon, GB)","CFA12,583List: CFA19,057Avg: CFA4,210",-
30571-1,Pelican,Creator,2019,62,"Forever Sorting(BrickOwl, PT)","CFA14,578Avg: CFA3,216",-
40342-1,Minifigure Pack,Ninjago,2019,59,"Amazon US(Amazon, US)","CFA43,162Avg: CFA9,505",-
31060-1,Airshow Aces,Creator,2016,246,"eBay US(eBay, US)","CFA48,299Avg: CFA10,588",-
5006279-1,Single Gel Pen with DOTS (Lavender),DOTS,2021,8,"Amazon US(Amazon, US)","CFA12,407List: CFA13,216Avg: CFA2,887",-
21319-1,Central Perk,LEGO Ideas and CUUSOO,2019,1070,": Pricey, but worth it(BrickOwl, ES)","CFA262,383Avg: CFA57,242",-
75533-1,Boba Fett,Star Wars,2018,144,"eBay US(eBay, US)","CFA107,932Avg: CFA23,319",-
42038-1,Arctic Truck,Technic,2015,913,"SLASHY STORE(BrickLink, PL)","CFA327,606Avg: CFA70,435",-
71024-1,Vintage Mickey,Collectible Minifigures,2019,6,"Forever Sorting(BrickOwl, PT)","CFA14,578Avg: CFA3,126",-
40404-1,Teacher's Day,LEGO Brand Store,2020,43,"Amazon US(Amazon, US)","CFA27,652Avg: CFA5,907",-
31045-1,Ocean Explorer,Creator,2016,213,"eBay US(eBay, US)","CFA53,960Avg: CFA11,378",-
8881-1,Power Functions Battery Box,Power Functions,2008,1,"Brick Takeover(BrickOwl, DE)","CFA26,205Avg: CFA5,507",-
40462-1,Valentine's Brown Bear,Seasonal,2021,245,"Amazon US(Amazon, US)","CFA58,278Avg: CFA12,197",-
6307988-1,Winter,Seasonal,2019,113,"Amazon US(Amazon, US)","CFA83,804Avg: CFA17,530",-
11942-1,Lunar Lander,Creator,2020,45,"Amazon UK(Amazon, GB)","CFA12,583List: CFA19,057Avg: CFA3,964",-
5002812-1,Classic Spaceman Minifigure,Space,2014,18,"Forever Sorting(BrickOwl, PT)","CFA65,592Avg: CFA13,551",-
71013-1,Ice Queen,Collectible Minifigures,2016,12,"Forever Sorting(BrickOwl, PT)","CFA16,394Avg: CFA3,381",-
40441-1,Shorthair Cat and Kitten,Brickheadz,2021,250,"Amazon US(Amazon, US)","CFA53,960Avg: CFA11,118",-
70353-1,The Heligoyle,Nexo Knights,2017,318,"eBay US(eBay, US)","CFA107,926Avg: CFA22,203",-
40310-1,Botanical Accessories,Xtra,2018,24,"Brick Takeover(BrickOwl, DE)","CFA18,334Avg: CFA3,688",-
5006044-1,Amazing Vehicles,Books,2019,26,"Amazon US(Amazon, US)","CFA53,399Avg: CFA10,740",-
70683-1,Spinjitzu Slam - Zane,Ninjago,2019,64,"Amazon UK(Amazon, GB)","CFA29,352Avg: CFA5,842",-
